-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Latitude  51.9812   Longitude 5.6584 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 15.29 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M
2020,1,1,0,4.84,152.07
2020,1,1,1,5.08,152.65
2020,1,1,2,5.3,152.53
2020,1,1,3,5.15,150.29
2020,1,1,4,4.89,148.27
2020,1,1,5,4.57,143.97
2020,1,1,6,4.32,142.8
2020,1,1,7,4.16,144.88
2020,1,1,8,4.02,151.84
2020,1,1,9,4.2,166.35
2020,1,1,10,4.33,173.16
2020,1,1,11,4.24,178.41
2020,1,1,12,3.97,183.84
2020,1,1,13,3.79,190.1
2020,1,1,14,3.54,194.19
2020,1,1,15,3.82,193.13
2020,1,1,16,4.51,191.1
2020,1,1,17,5.77,193.38
2020,1,1,18,6.62,195.27
2020,1,1,19,7.12,199.21
2020,1,1,20,7.31,206.87
2020,1,1,21,6.82,215.73
2020,1,1,22,5.8,221.07
2020,1,1,23,5.13,216.89
2020,1,2,0,4.82,202.91
2020,1,2,1,5.15,192.79
2020,1,2,2,5.47,187.97
2020,1,2,3,5.66,184.36
2020,1,2,4,5.76,182.25
2020,1,2,5,6.07,185.39
2020,1,2,6,6.37,184.85
2020,1,2,7,6.41,179.65
2020,1,2,8,6.46,178.89
2020,1,2,9,6.48,182.63
2020,1,2,10,6.91,187.6
2020,1,2,11,6.59,187.91
2020,1,2,12,6.48,189.86
2020,1,2,13,7.03,189.99
2020,1,2,14,8.36,195.23
2020,1,2,15,9.05,196.04
2020,1,2,16,9.23,196.52
2020,1,2,17,9.11,193.6
2020,1,2,18,9.19,191.42
2020,1,2,19,9.0,190.1
2020,1,2,20,10.41,197.78
2020,1,2,21,10.38,200.77
2020,1,2,22,10.99,205.98
2020,1,2,23,10.94,209.29
2020,1,3,0,11.1,213.67
2020,1,3,1,10.97,208.59
2020,1,3,2,11.79,212.5
2020,1,3,3,11.85,216.67
2020,1,3,4,11.85,217.42
2020,1,3,5,12.09,217.83
2020,1,3,6,11.83,217.19
2020,1,3,7,11.58,214.98
2020,1,3,8,11.06,215.08
2020,1,3,9,10.97,217.6
2020,1,3,10,10.7,221.95
2020,1,3,11,10.58,233.38
2020,1,3,12,10.51,245.97
2020,1,3,13,10.66,258.11
2020,1,3,14,10.05,276.7
2020,1,3,15,10.26,310.21
2020,1,3,16,10.21,328.29
2020,1,3,17,8.42,324.36
2020,1,3,18,8.42,312.52
2020,1,3,19,9.05,312.59
2020,1,3,20,8.32,308.02
2020,1,3,21,7.92,295.71
2020,1,3,22,8.34,282.77
2020,1,3,23,9.09,272.86
2020,1,4,0,9.06,268.72
2020,1,4,1,8.9,261.27
2020,1,4,2,9.08,255.61
2020,1,4,3,9.37,254.28
