,Chitwan,NewYork,Bonn,Sydney
2020010100,0.0,0.0,0.0,890.68
2020010101,25.21,0.0,0.0,949.03
2020010102,158.53,0.0,0.0,966.41
2020010103,306.5,0.0,0.0,895.84
2020010104,442.52,0.0,0.0,776.51
2020010105,552.95,0.0,0.0,497.85
2020010106,508.64,0.0,0.0,323.8
2020010107,488.27,0.0,0.0,157.14
2020010108,402.05,0.0,60.48,42.47
2020010109,255.17,0.0,165.32,0.0
2020010110,119.27,0.0,183.68,0.0
2020010111,14.44,0.0,217.41,0.0
2020010112,0.0,11.01,214.66,0.0
2020010113,0.0,78.09,176.78,0.0
2020010114,0.0,197.16,89.93,0.0
2020010115,0.0,287.58,11.38,0.0
2020010116,0.0,274.41,0.0,0.0
2020010117,0.0,247.52,0.0,0.0
2020010118,0.0,149.98,0.0,0.0
2020010119,0.0,135.31,0.0,26.37
2020010120,0.0,53.72,0.0,88.8
2020010121,0.0,13.57,0.0,183.0
2020010122,0.0,0.0,0.0,273.52
2020010123,0.0,0.0,0.0,417.66
2020010200,0.0,0.0,0.0,539.64
2020010201,22.2,0.0,0.0,553.77
2020010202,135.65,0.0,0.0,587.17
2020010203,263.34,0.0,0.0,582.8
2020010204,393.78,0.0,0.0,482.25
2020010205,466.58,0.0,0.0,390.89
2020010206,562.92,0.0,0.0,271.45
2020010207,514.35,0.0,0.0,180.07
2020010208,423.33,0.0,38.66,48.93
2020010209,293.34,0.0,53.77,0.0
2020010210,137.95,0.0,179.86,0.0
2020010211,15.06,0.0,141.73,0.0
2020010212,0.0,15.45,106.16,0.0
2020010213,0.0,128.57,127.31,0.0
2020010214,0.0,269.38,66.86,0.0
2020010215,0.0,377.76,9.92,0.0
2020010216,0.0,445.89,0.0,0.0
2020010217,0.0,308.04,0.0,0.0
2020010218,0.0,267.18,0.0,0.0
2020010219,0.0,186.4,0.0,65.55
2020010220,0.0,85.9,0.0,123.56
2020010221,0.0,14.88,0.0,235.7
2020010222,0.0,0.0,0.0,469.88
2020010223,0.0,0.0,0.0,741.62
2020010300,0.0,0.0,0.0,858.92
2020010301,14.41,0.0,0.0,950.21
2020010302,33.59,0.0,0.0,985.37
2020010303,59.8,0.0,0.0,938.08
2020010304,68.3,0.0,0.0,828.57
2020010305,82.0,0.0,0.0,642.38
2020010306,107.48,0.0,0.0,442.41
2020010307,106.47,0.0,0.0,232.43
2020010308,74.88,0.0,33.67,41.83
2020010309,50.16,0.0,80.79,0.0
2020010310,13.07,0.0,67.34,0.0
2020010311,8.02,0.0,86.65,0.0
2020010312,0.0,6.99,92.27,0.0
2020010313,0.0,44.39,45.25,0.0
2020010314,0.0,97.9,28.05,0.0
2020010315,0.0,100.92,8.89,0.0
2020010316,0.0,116.54,0.0,0.0
2020010317,0.0,87.93,0.0,0.0
2020010318,0.0,80.01,0.0,0.0
2020010319,0.0,50.22,0.0,42.89
2020010320,0.0,34.27,0.0,262.97
